epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34736.8,0.72623,0.63454,1.13647,0.80648,0.72392,0.81685,0.63932,0.80128,0.87516,1.2183,0.000410357,0.000410357,0.000410357
43,35554.1,0.72831,0.60796,1.13547,0.83768,0.7298,0.82839,0.65224,0.78432,0.8412,1.20418,0.000400048,0.000400048,0.000400048
44,36379.2,0.72544,0.61644,1.13958,0.82186,0.73892,0.82648,0.65972,0.78423,0.88653,1.19509,0.00038974,0.00038974,0.00038974
45,37197.3,0.71949,0.60829,1.13976,0.85401,0.73094,0.83571,0.65254,0.80587,0.82622,1.21088,0.000379431,0.000379431,0.000379431
46,38013.3,0.71695,0.60595,1.13459,0.76881,0.76979,0.81792,0.64189,0.82343,0.8658,1.25027,0.000369123,0.000369123,0.000369123
47,38833.8,0.71299,0.58806,1.13273,0.78819,0.77526,0.81919,0.64489,0.80815,0.84809,1.22756,0.000358815,0.000358815,0.000358815
48,39650.9,0.70388,0.59126,1.12538,0.72957,0.77992,0.82064,0.64451,0.80051,0.8871,1.22639,0.000348506,0.000348506,0.000348506
49,40473.6,0.69482,0.58019,1.11744,0.8151,0.75465,0.81303,0.64742,0.78629,0.88282,1.2012,0.000338198,0.000338198,0.000338198
50,41291.5,0.70176,0.57755,1.12361,0.77366,0.78046,0.83244,0.65939,0.76531,0.84537,1.18497,0.00032789,0.00032789,0.00032789
51,42111,0.701,0.57263,1.1226,0.78636,0.77537,0.82586,0.64797,0.79892,0.83862,1.20879,0.000317581,0.000317581,0.000317581
52,42924.8,0.67626,0.55435,1.10903,0.79254,0.73873,0.80429,0.63818,0.78633,0.85943,1.207,0.000307273,0.000307273,0.000307273
53,43743.4,0.68717,0.56192,1.1117,0.79859,0.76531,0.8142,0.64667,0.78601,0.84491,1.19837,0.000296964,0.000296964,0.000296964
54,44560.9,0.66141,0.53054,1.10277,0.79972,0.74513,0.82041,0.65369,0.75782,0.83843,1.18362,0.000286656,0.000286656,0.000286656
55,45376.2,0.67487,0.54457,1.10804,0.82322,0.77079,0.81927,0.64492,0.78251,0.86221,1.191,0.000276348,0.000276348,0.000276348
56,46192.3,0.66872,0.5346,1.09745,0.80073,0.76018,0.82457,0.65183,0.77478,0.87344,1.18439,0.000266039,0.000266039,0.000266039
57,47006.3,0.65704,0.52572,1.09714,0.79931,0.75413,0.82751,0.65567,0.76764,0.85157,1.18117,0.000255731,0.000255731,0.000255731
58,47823,0.66056,0.53312,1.10174,0.79893,0.75201,0.82324,0.65265,0.76888,0.8586,1.19127,0.000245423,0.000245423,0.000245423
59,48638.3,0.66354,0.53344,1.10616,0.78076,0.76678,0.82043,0.65057,0.76407,0.87057,1.18595,0.000235114,0.000235114,0.000235114
60,49453.5,0.64039,0.51203,1.08289,0.77635,0.79213,0.83204,0.65507,0.77644,0.85439,1.19058,0.000224806,0.000224806,0.000224806
61,50274.3,0.65139,0.51773,1.09374,0.7894,0.79102,0.82372,0.6551,0.76264,0.86262,1.18176,0.000214497,0.000214497,0.000214497
62,51091.5,0.64281,0.50963,1.08973,0.81413,0.74751,0.83106,0.65787,0.77549,0.85288,1.19854,0.000204189,0.000204189,0.000204189
63,51909,0.64389,0.51429,1.08846,0.75617,0.76217,0.8079,0.63839,0.76496,0.88217,1.18294,0.000193881,0.000193881,0.000193881
64,52722.9,0.63043,0.49336,1.07831,0.81141,0.76958,0.82928,0.66712,0.7562,0.85486,1.17483,0.000183572,0.000183572,0.000183572
65,53535.8,0.62055,0.49386,1.074,0.82439,0.77722,0.82624,0.65418,0.76836,0.83715,1.18883,0.000173264,0.000173264,0.000173264
66,54349.4,0.62077,0.48806,1.07559,0.8067,0.73668,0.81328,0.64498,0.78248,0.87936,1.20391,0.000162956,0.000162956,0.000162956
67,55166,0.62166,0.48218,1.07952,0.78832,0.7429,0.80971,0.64134,0.77756,0.87538,1.2168,0.000152647,0.000152647,0.000152647
68,55984.2,0.61724,0.47295,1.07255,0.76688,0.78861,0.81624,0.64623,0.77873,0.86905,1.19955,0.000142339,0.000142339,0.000142339
69,56829.4,0.61844,0.48748,1.07793,0.80734,0.77216,0.82442,0.65321,0.77107,0.85831,1.19379,0.000132031,0.000132031,0.000132031
70,57650.5,0.60389,0.47304,1.06776,0.80036,0.7664,0.82204,0.65309,0.7803,0.84165,1.2104,0.000121722,0.000121722,0.000121722
71,58465.3,0.49745,0.3193,1.02973,0.82023,0.75247,0.8216,0.65157,0.77818,0.86098,1.20939,0.000111414,0.000111414,0.000111414
72,59273.7,0.48128,0.30431,1.01726,0.76121,0.7862,0.81942,0.64898,0.77931,0.86332,1.21791,0.000101105,0.000101105,0.000101105
73,60082.1,0.47518,0.29389,1.01282,0.8036,0.78312,0.82625,0.6534,0.78007,0.86947,1.22644,9.0797e-05,9.0797e-05,9.0797e-05
74,60886,0.4707,0.29492,1.01155,0.78218,0.79875,0.82464,0.65449,0.77053,0.85192,1.21915,8.04886e-05,8.04886e-05,8.04886e-05
75,61695.9,0.44948,0.28007,0.99783,0.81988,0.75498,0.82312,0.65487,0.77717,0.86376,1.21889,7.01802e-05,7.01802e-05,7.01802e-05
76,62503.1,0.45925,0.28455,1.0032,0.83548,0.75213,0.83329,0.66361,0.76656,0.82776,1.2149,5.98719e-05,5.98719e-05,5.98719e-05
77,63315.2,0.44417,0.27326,0.9882,0.80764,0.76232,0.82295,0.659,0.75707,0.85115,1.20484,4.95635e-05,4.95635e-05,4.95635e-05
78,64121.1,0.43941,0.27113,0.98763,0.84737,0.74363,0.82007,0.65321,0.76776,0.85603,1.22002,3.92551e-05,3.92551e-05,3.92551e-05
79,64931.8,0.42937,0.26986,0.981,0.84604,0.74157,0.8208,0.65573,0.7712,0.86388,1.2247,2.89468e-05,2.89468e-05,2.89468e-05
80,65776.6,0.43959,0.2652,0.98559,0.84117,0.73319,0.8184,0.65688,0.76834,0.85057,1.22077,1.86384e-05,1.86384e-05,1.86384e-05
